"procedure_name","definition_type","line_number","duplicate_occurrences","parameter_count","parameters","source_tables","write_targets","local_staging_objects","called_procedures","user_functions","logic_profile","data_flow_summary","statement_counts"
"[dbo].[SPRealTimeAppointmentDataDumptest]","CREATE","349861","1","2","@JSON nvarchar(max)='' | @MessageId nvarchar(200","","[RealTimeAppointmentDataDumptest]","@TableDataTemp","","[dbo].[GetDate]","try/catch error handling | transaction control | conditional branching | temp or staged data handling | write-back processing","Reads data from input parameters and internal expressions and persists results to `[RealTimeAppointmentDataDumptest]`. Intermediate staging uses `@TableDataTemp`.","SELECT 4; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[SPRealTimeAppointmentRescheduleandDPSLead]","CREATE","350072","1","0","","[RealTimeAppointmentDataDump] | [SMRAppointmentTypeMaster] | [DealersMaster] | [SMRLead] | [SMRAppointment] | [DPSStagingSMRInt] | [CallTimeSlot] | [FuelTypeMaster] | [SMRServiceTypeMaster] | [BotRefresh]","[SMRLead] | [SMRLeadConatct] | [dbo].[SMRLeadFollowUp] | [dbo].[SMRAppointment] | [DigitalLead] | [BotRefresh] | [SMRAppointment] | [RealTimeAppointmentDataDump] | [DPSStagingSMRint]","@tb_SMRLeadConatct | @TmpRemoveAgainDuplicate | @TmpRemoveDuplicateRemove | @TmpRemoveSN | @TmpRemoveGetmaxOnly | @TmpRemoveDuplicate | @Tmp | @TmpTempsd","","","conditional branching | iterative processing | aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[RealTimeAppointmentDataDump]`, `[SMRAppointmentTypeMaster]`, `[DealersMaster]`, `[SMRLead]`, `[SMRAppointment]`, `[DPSStagingSMRInt]`, `[CallTimeSlot]`, `[FuelTypeMaster]`, `[SMRServiceTypeMaster]`, `[BotRefresh]` and persists results to `[SMRLead]`, `[SMRLeadConatct]`, `[dbo].[SMRLeadFollowUp]`, `[dbo].[SMRAppointment]`, `[DigitalLead]`, `[BotRefresh]`, `[SMRAppointment]`, `[RealTimeAppointmentDataDump]`, `[DPSStagingSMRint]`. Intermediate staging uses `@tb_SMRLeadConatct`, `@TmpRemoveAgainDuplicate`, `@TmpRemoveDuplicateRemove`, `@TmpRemoveSN`, `@TmpRemoveGetmaxOnly`, `@TmpRemoveDuplicate`, `@Tmp`, `@TmpTempsd`.","SELECT 21; INSERT 11; UPDATE 3; DELETE 2; MERGE 0; EXEC 0"
"[dbo].[SPRealTimeAppointmentUpdate]","CREATE","350687","1","0","","[RealTimeAppointmentDataDump] | [SMRAppointmentTypeMaster] | [DealersMaster] | [SMRLead] | [SMRAppointment] | [CallTimeSlot]","[dbo].[SMRLeadFollowUp] | [dbo].[SMRAppointment] | [SMRLead] | [RealTimeAppointmentDataDump]","@TmpRemoveSN | @TmpRemoveGetmaxOnly | @TmpRemoveDuplicate | @Tmp","","","iterative processing | aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[RealTimeAppointmentDataDump]`, `[SMRAppointmentTypeMaster]`, `[DealersMaster]`, `[SMRLead]`, `[SMRAppointment]`, `[CallTimeSlot]` and persists results to `[dbo].[SMRLeadFollowUp]`, `[dbo].[SMRAppointment]`, `[SMRLead]`, `[RealTimeAppointmentDataDump]`. Intermediate staging uses `@TmpRemoveSN`, `@TmpRemoveGetmaxOnly`, `@TmpRemoveDuplicate`, `@Tmp`.","SELECT 12; INSERT 5; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[SPRealTimeAppointmentUpdatenew14nov2025]","CREATE","351008","1","0","","[RealTimeAppointmentDataDump] | [SMRAppointmentTypeMaster] | [DealersMaster] | [SMRLead] | [SMRAppointment] | [CallTimeSlot]","[dbo].[SMRLeadFollowUp] | [dbo].[SMRAppointment] | [SMRLead] | [RealTimeAppointmentDataDump]","@TmpRemoveSN | @TmpRemoveGetmaxOnly | @TmpRemoveDuplicate | @Tmp","","","iterative processing | aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[RealTimeAppointmentDataDump]`, `[SMRAppointmentTypeMaster]`, `[DealersMaster]`, `[SMRLead]`, `[SMRAppointment]`, `[CallTimeSlot]` and persists results to `[dbo].[SMRLeadFollowUp]`, `[dbo].[SMRAppointment]`, `[SMRLead]`, `[RealTimeAppointmentDataDump]`. Intermediate staging uses `@TmpRemoveSN`, `@TmpRemoveGetmaxOnly`, `@TmpRemoveDuplicate`, `@Tmp`.","SELECT 12; INSERT 5; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spRealtimeMarketingLead]","CREATE","351330","1","0","","[FreedomData] | [DealersMaster] | [SMRServiceTypeMaster] | [ExcelImportLead] | [UserCampaignMapping] | [UserDealerMapping] | [UserMaster]","[ExcelImportLead]","@tempFreedomDataDataConvert | @tempFreedomDataDataConverttemp | @DealerList | @tempFreedomDataDataConvertDealerWiseData | @tempFreedomDataDataConvertAllotData | @UserRole | @AllDealerUser | @UserDealerFRAndBothId","","[dbo].[GetDate]","try/catch error handling | transaction control | conditional branching | iterative processing | aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[FreedomData]`, `[DealersMaster]`, `[SMRServiceTypeMaster]`, `[ExcelImportLead]`, `[UserCampaignMapping]`, `[UserDealerMapping]`, `[UserMaster]` and persists results to `[ExcelImportLead]`. Intermediate staging uses `@tempFreedomDataDataConvert`, `@tempFreedomDataDataConverttemp`, `@DealerList`, `@tempFreedomDataDataConvertDealerWiseData`, `@tempFreedomDataDataConvertAllotData`, `@UserRole`, `@AllDealerUser`, `@UserDealerFRAndBothId`.","SELECT 27; INSERT 10; UPDATE 3; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spRealtimeSmartPaintColorMaster]","CREATE","351573","1","0","","[SmartPaintColorMaster]","","","","","read-only retrieval","Reads and returns data from `[SmartPaintColorMaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spReassignSMREDataAllocatedDataList]","CREATE","351588","1","1","@DealerID nvarchar(max)","","","@tbl_dealerID","","","temp or staged data handling | write-back processing","Primarily coordinates procedure calls and internal logic without a clearly detectable direct table read/write pattern.","SELECT 2; INSERT 1; UPDATE 0; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[spReportingAuthorityMaster]","CREATE","351684","1","2","@dealerID nvarchar(max)='' | @DesignationId int","[UserDealerMapping] | [UserDetail] | [UserMaster] | [DesignationMaster]","","@tbl_dealerID","","","temp or staged data handling | write-back processing","Reads and returns data from `[UserDealerMapping]`, `[UserDetail]`, `[UserMaster]`, `[DesignationMaster]`. Intermediate staging uses `@tbl_dealerID`.","SELECT 4; INSERT 1; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spRoleMaster]","CREATE","351706","1","0","","[RoleMaster]","","","","","read-only retrieval","Reads and returns data from `[RoleMaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spSaveCallDispositionTag]","CREATE","351717","1","9","@LeadID bigint | @SVOCId bigint | @VehicleRegNo nvarchar(20) | @ColdWarmHoteId int | @privateCommercialId int | @CustomerNatureId int | @CustomerTypeId int | @ContactListDeatils nvarchar(max) | @ExcelId bigint","[CustomerMaster] | [CustomerFollowUpStatusMaster] | [SMRLead] | [CustomerContactDetail]","[CustomerMaster] | [CustomerContactDetail] | [SMRLead]","@tblCsend | @tblContactListDeatils","","[dbo].[GetDate]","try/catch error handling | transaction control | conditional branching | temp or staged data handling | write-back processing","Reads data from `[CustomerMaster]`, `[CustomerFollowUpStatusMaster]`, `[SMRLead]`, `[CustomerContactDetail]` and persists results to `[CustomerMaster]`, `[CustomerContactDetail]`, `[SMRLead]`. Intermediate staging uses `@tblCsend`, `@tblContactListDeatils`.","SELECT 14; INSERT 7; UPDATE 9; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[spSaveDialerCallHistory]","CREATE","352026","1","12","@call_id NVARCHAR(150) | @message NVARCHAR(250) | @error NVARCHAR(500) | @call_to_number NVARCHAR(50) | @answer_agent_number NVARCHAR(50) | @customer_no_with_prefix NVARCHAR(50) | @start_stamp NVARCHAR(50) | @connectionId NVARCHAR(150) | @regNo NVARCHAR(50) | @leadId BIGINT | @leadCreId BIGINT | @dealerid bigint=0","","[DialerCallToday]","","","","write-back processing","Reads data from input parameters and internal expressions and persists results to `[DialerCallToday]`.","SELECT 0; INSERT 1; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
