"procedure_name","definition_type","line_number","duplicate_occurrences","parameter_count","parameters","source_tables","write_targets","local_staging_objects","called_procedures","user_functions","logic_profile","data_flow_summary","statement_counts"
"[dbo].[ABC]","CREATE","9","1","0","","[UserMaster] | [BotLeadMaster] | [UserDealerMapping] | [Botleadmaster_Archive] | [SMRLead] | [SMRLead_ReportedRefuse] | [SMRRefuseForService_ReportedRefuse] | [SMRAppointment] | [SMRAppointment_ReportedRefuse]","[ccmdigitalleadswhatsappblaster]","@BotLeadMaster | @UserList","","","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[UserMaster]`, `[BotLeadMaster]`, `[UserDealerMapping]`, `[Botleadmaster_Archive]`, `[SMRLead]`, `[SMRLead_ReportedRefuse]`, `[SMRRefuseForService_ReportedRefuse]`, `[SMRAppointment]`, `[SMRAppointment_ReportedRefuse]` and persists results to `[ccmdigitalleadswhatsappblaster]`. Intermediate staging uses `@BotLeadMaster`, `@UserList`.","SELECT 9; INSERT 4; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[abcbot]","CREATE","105","1","0","","[abc]","","","","","read-only retrieval","Reads and returns data from `[abc]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcfetch]","CREATE","117","1","0","","[usermaster] | [abctemp]","","","","[dbo].[getdate]","read-only retrieval","Reads and returns data from `[usermaster]`, `[abctemp]`.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate]","CREATE","130","1","0","","[psfdatawithjobcardrecomendation]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendation]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate1]","CREATE","153","1","0","","[psfdatawithjobcardrecomendation]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendation]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate2]","CREATE","177","1","0","","[psfdatawithjobcardrecomendationpending]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendationpending]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[Abcgetdate3]","CREATE","200","1","0","","[psfdatawithjobcardrecomendationpending]","","","","","read-only retrieval","Reads and returns data from `[psfdatawithjobcardrecomendationpending]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AchiveDialerDashboardData]","CREATE","225","1","0","","[LastAttemptReportTodayNew] | [DealersMaster] | [SMRServiceTypeMaster] | [ChannelMaster] | [DialerUsesAutorizationSummary] | [SMRLeadFollowUp] | [SMRLead] | [DialerCallHistory] | [SMRLead_ReportedRefuse] | [WhatsAppHistory] | [SMSHistory] | [IncomingCallResponce] | [CallAgentRequest] | [DialerCallToday]","[DialerDashboardHistory]","@DateTImeSlot | @DialerDashboardHistory | @DialerDashboardHistoryReporetd | @TBL | @CompraseData","","[dbo].[getdate]","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[LastAttemptReportTodayNew]`, `[DealersMaster]`, `[SMRServiceTypeMaster]`, `[ChannelMaster]`, `[DialerUsesAutorizationSummary]`, `[SMRLeadFollowUp]`, `[SMRLead]`, `[DialerCallHistory]`, `[SMRLead_ReportedRefuse]`, `[WhatsAppHistory]`, and 4 more and persists results to `[DialerDashboardHistory]`. Intermediate staging uses `@DateTImeSlot`, `@DialerDashboardHistory`, `@DialerDashboardHistoryReporetd`, `@TBL`, `@CompraseData`.","SELECT 14; INSERT 21; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AchiveDialerDashboardDatapostgray]","CREATE","550","1","2","@details dbo.type_DialerCallHistory readonly | @incommingdetails dbo.type_IncomingCallResponce readonly","","","","","","read-only retrieval","Reads and returns data from input parameters and internal expressions.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[ActiveUserListDeshboard]","CREATE","901","1","2","@UserId bigint | @DealerId nvarchar(max","","","","","","read-only retrieval","Reads and returns data from input parameters and internal expressions.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[AddLeadStatus]","CREATE","931","1","4","@LeadMasterId int | @StatusText nvarchar(Max) | @custName nvarchar(30) | @Custmobile int","","[dbo].[LeadStatus] | [dbo].[customertest]","","","[dbo].[LeadStatus] | [dbo].[customertest]","try/catch error handling | transaction control | conditional branching | write-back processing","Reads data from input parameters and internal expressions and persists results to `[dbo].[LeadStatus]`, `[dbo].[customertest]`.","SELECT 3; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[adhocAppointmentGetdata]","CREATE","984","1","0","","[RealTimeAppointmentDataDump] | [DealersMaster] | [SMRLead] | [DPSStagingSMRInt] | [SMRServiceTypeMaster] | [SMRAppointmentTypeMaster]","","@Tmp | @TmpWithDPS | @TmpWithDPSREmove | @TmpWithDPSRemoveDuplicate | @TBLC","","[dbo].[getdate]","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads and returns data from `[RealTimeAppointmentDataDump]`, `[DealersMaster]`, `[SMRLead]`, `[DPSStagingSMRInt]`, `[SMRServiceTypeMaster]`, `[SMRAppointmentTypeMaster]`. Intermediate staging uses `@Tmp`, `@TmpWithDPS`, `@TmpWithDPSREmove`, `@TmpWithDPSRemoveDuplicate`, `@TBLC`.","SELECT 7; INSERT 5; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[ADHOCbOTiNSERTnew_bakup]","CREATE","1145","1","0","","[RezoSMRBotintegration] | [BotLeadMaster] | [DealersMaster] | [BotPickupTypeMaster] | [SMRBOTCallStatusMaster]","[RezoSMRBotintegration]","","[RezoSMRBotintegrationUpdateReport]","[dbo].[getdate]","iterative processing | aggregation/reporting logic | write-back processing","Reads data from `[RezoSMRBotintegration]`, `[BotLeadMaster]`, `[DealersMaster]`, `[BotPickupTypeMaster]`, `[SMRBOTCallStatusMaster]` and persists results to `[RezoSMRBotintegration]`. The procedure also calls `[RezoSMRBotintegrationUpdateReport]`.","SELECT 4; INSERT 0; UPDATE 1; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[ADHOCbOTiNSERTnew]","CREATE","1065","1","0","","[RezoSMRBotintegration] | [BotLeadMaster] | [DealersMaster] | [BotPickupTypeMaster] | [SMRBOTCallStatusMaster]","[RezoSMRBotintegration]","","[RezoSMRBotintegrationUpdateReport]","[dbo].[getdate]","iterative processing | aggregation/reporting logic | write-back processing","Reads data from `[RezoSMRBotintegration]`, `[BotLeadMaster]`, `[DealersMaster]`, `[BotPickupTypeMaster]`, `[SMRBOTCallStatusMaster]` and persists results to `[RezoSMRBotintegration]`. The procedure also calls `[RezoSMRBotintegrationUpdateReport]`.","SELECT 4; INSERT 0; UPDATE 1; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[ADHOCbOTiNSERTnewCakup]","CREATE","1226","1","0","","[RezoSMRBotintegration] | [DealersMaster] | [BotPickupTypeMaster] | [SMRBOTCallStatusMaster] | [BotLeadMaster]","","@tb_Data","[RezoSMRBotintegrationUpdateReport]","[dbo].[getdate]","temp or staged data handling | read-only retrieval","Reads and returns data from `[RezoSMRBotintegration]`, `[DealersMaster]`, `[BotPickupTypeMaster]`, `[SMRBOTCallStatusMaster]`, `[BotLeadMaster]`. Intermediate staging uses `@tb_Data`. The procedure also calls `[RezoSMRBotintegrationUpdateReport]`.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[ADHOCbOTiNSERTVV]","CREATE","1282","1","0","","[RezoSMRBotintegration] | [DealersMaster] | [BotPickupTypeMaster] | [SMRBOTCallStatusMaster] | [BotLeadMaster] | [SMRLead]","","@tb_Data","[RezoSMRBotintegrationUpdateReport]","[dbo].[getdate]","temp or staged data handling | write-back processing","Reads and returns data from `[RezoSMRBotintegration]`, `[DealersMaster]`, `[BotPickupTypeMaster]`, `[SMRBOTCallStatusMaster]`, `[BotLeadMaster]`, `[SMRLead]`. Intermediate staging uses `@tb_Data`. The procedure also calls `[RezoSMRBotintegrationUpdateReport]`.","SELECT 5; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[AppointmentupdatemanUAL]","CREATE","1425","1","0","","[SMRAppointmentHistory] | [SMRLead] | [SMROperationDetails] | [FollowUpLeadStatusMaster] | [SMRCallDispositionMaster]","[SMRAppointmentHistory]","","","","write-back processing","Reads data from `[SMRAppointmentHistory]`, `[SMRLead]`, `[SMROperationDetails]`, `[FollowUpLeadStatusMaster]`, `[SMRCallDispositionMaster]` and persists results to `[SMRAppointmentHistory]`.","SELECT 1; INSERT 0; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[ApptJobRunafter15Insertmt]","CREATE","1497","1","0","","[SMRLead] | [SMRAppointmentHistory] | [SMRAppointment] | [CampaignMaster] | [ChannelMaster] | [PriorityMaster] | [CallResultDespositionMaster] | [SMRServiceTypeMasterForMaster] | [SMRVehicleTypeMaster] | [LeadSourceMaster] | [FollowUpLeadStatusMaster] | [FuelTypeMaster] | [CustomerFollowUpStatusMaster] | [SMRAppointmentStatusMaster] | [SMRAppointmentTypeMaster] | [CustomerCategoryMaster] | [DealersMaster] | [AreaMaster] | [PickDropMaster] | [UserMaster] | [SMRCallDispositionMaster] | [SMROperationDetails] | [SMRServiceTypeMaster] | [SMRLeadFollowUp]","[SMRAppointmentHistory]","@LeadAPPTTemp","","[dbo].[getdate]","temp or staged data handling | write-back processing","Reads data from `[SMRLead]`, `[SMRAppointmentHistory]`, `[SMRAppointment]`, `[CampaignMaster]`, `[ChannelMaster]`, `[PriorityMaster]`, `[CallResultDespositionMaster]`, `[SMRServiceTypeMasterForMaster]`, `[SMRVehicleTypeMaster]`, `[LeadSourceMaster]`, and 14 more and persists results to `[SMRAppointmentHistory]`. Intermediate staging uses `@LeadAPPTTemp`.","SELECT 4; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[ApptJobRunafter15mt]","CREATE","1876","1","0","","[SMRAppointmentMaxFollowup] | [SMRLeadFollowUp] | [SmrLead] | [SMRAppointmentHistory] | [SMRAppointment] | [CampaignMaster] | [ChannelMaster] | [PriorityMaster] | [CallResultDespositionMaster] | [SMRServiceTypeMasterForMaster] | [SMRVehicleTypeMaster] | [LeadSourceMaster] | [FollowUpLeadStatusMaster] | [FuelTypeMaster] | [CustomerFollowUpStatusMaster] | [SMRAppointmentStatusMaster] | [SMRAppointmentTypeMaster] | [CustomerCategoryMaster] | [DealersMaster] | [AreaMaster] | [PickDropMaster] | [UserMaster] | [SMRCallDispositionMaster] | [SMROperationDetails] | [SMRServiceTypeMaster]","[SMRAppointmentHistory] | [SMRAppointmentMaxFollowup]","@LeadTemp | @LeadAPPTTemp | @DeleteTMP","","","conditional branching | temp or staged data handling | write-back processing","Reads data from `[SMRAppointmentMaxFollowup]`, `[SMRLeadFollowUp]`, `[SmrLead]`, `[SMRAppointmentHistory]`, `[SMRAppointment]`, `[CampaignMaster]`, `[ChannelMaster]`, `[PriorityMaster]`, `[CallResultDespositionMaster]`, `[SMRServiceTypeMasterForMaster]`, and 15 more and persists results to `[SMRAppointmentHistory]`, `[SMRAppointmentMaxFollowup]`. Intermediate staging uses `@LeadTemp`, `@LeadAPPTTemp`, `@DeleteTMP`.","SELECT 13; INSERT 4; UPDATE 2; DELETE 1; MERGE 0; EXEC 0"
"[dbo].[ApptJobRunafter15mtforscheduler]","CREATE","2749","1","0","","[SMRAppointmentMaxFollowup] | [SMRLeadFollowUp] | [SmrLead] | [SMRAppointmentHistory] | [SMRAppointment] | [CampaignMaster] | [ChannelMaster] | [PriorityMaster] | [CallResultDespositionMaster] | [SMRServiceTypeMasterForMaster] | [SMRVehicleTypeMaster] | [LeadSourceMaster] | [FollowUpLeadStatusMaster] | [FuelTypeMaster] | [CustomerFollowUpStatusMaster] | [SMRAppointmentStatusMaster] | [SMRAppointmentTypeMaster] | [CustomerCategoryMaster] | [DealersMaster] | [AreaMaster] | [PickDropMaster] | [UserMaster] | [SMRCallDispositionMaster] | [SMROperationDetails] | [SMRServiceTypeMaster]","[SMRAppointmentHistory] | [SMRAppointmentMaxFollowup]","@LeadTemp | @LeadAPPTTemp | @DeleteTMP","","","conditional branching | temp or staged data handling | write-back processing","Reads data from `[SMRAppointmentMaxFollowup]`, `[SMRLeadFollowUp]`, `[SmrLead]`, `[SMRAppointmentHistory]`, `[SMRAppointment]`, `[CampaignMaster]`, `[ChannelMaster]`, `[PriorityMaster]`, `[CallResultDespositionMaster]`, `[SMRServiceTypeMasterForMaster]`, and 15 more and persists results to `[SMRAppointmentHistory]`, `[SMRAppointmentMaxFollowup]`. Intermediate staging uses `@LeadTemp`, `@LeadAPPTTemp`, `@DeleteTMP`.","SELECT 13; INSERT 4; UPDATE 2; DELETE 1; MERGE 0; EXEC 0"
"[dbo].[AprroveBySubscriptionPlanRequest]","CREATE","3621","1","4","@DealerSubscriptionRequestId int=0 | @UserId int=0 | @Status int=0 | @Remark nvarchar(1000","","[DealerSubscriptionRequest] | [DealerSubscripTionInfo]","","","[dbo].[GetDate]","try/catch error handling | transaction control | conditional branching | write-back processing","Reads data from input parameters and internal expressions and persists results to `[DealerSubscriptionRequest]`, `[DealerSubscripTionInfo]`.","SELECT 2; INSERT 0; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterCCMUpdate]","CREATE","3676","1","0","","[UserDealerMapping] | [UserMaster] | [DealersMaster] | [PSFBlaster]","[PSFBlaster]","@TBL","","","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[UserDealerMapping]`, `[UserMaster]`, `[DealersMaster]`, `[PSFBlaster]` and persists results to `[PSFBlaster]`. Intermediate staging uses `@TBL`.","SELECT 2; INSERT 1; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterDataReport]","CREATE","3711","1","2","@fromdate nvarchar(150) | @todate nvarchar(150","[PSFBlaster] | [BlasterSendTemplate] | [DealersMaster]","","","","","read-only retrieval","Reads and returns data from `[PSFBlaster]`, `[BlasterSendTemplate]`, `[DealersMaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterDataReportNew]","CREATE","3769","1","0","","[PSFBlaster] | [BlasterSendTemplate] | [DealersMaster]","","","","[dbo].[getdate]","unioned result sets | read-only retrieval","Reads and returns data from `[PSFBlaster]`, `[BlasterSendTemplate]`, `[DealersMaster]`.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterDataSendOnService]","CREATE","3877","1","0","","[PSFBlaster] | [DealersMaster]","","","","","read-only retrieval","Reads and returns data from `[PSFBlaster]`, `[DealersMaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[blasterdataupdateJobcard]","CREATE","3901","1","0","","[RealTimeEventSMRDumpStore] | [Gm_BlasterVIn]","[NotincludeBlastervin]","@TbCancal","","","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[RealTimeEventSMRDumpStore]`, `[Gm_BlasterVIn]` and persists results to `[NotincludeBlastervin]`. Intermediate staging uses `@TbCancal`.","SELECT 5; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterSendTemplateDetails]","CREATE","3947","1","1","@id nvarchar(300","[BlasterSendTemplate]","","","","","read-only retrieval","Reads and returns data from `[BlasterSendTemplate]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BlasterSendWhatsAPpHistorySave]","CREATE","3969","1","7","@id NVARCHAR(150) | @status NVARCHAR(50) | @Error NVARCHAR(500) | @DPSDumpId int | @TemplateName nvarchar(200) | @RequestTime nvarchar(150) | @whatsApp_to_number nvarchar(150","","[BlasterSendTemplate] | [PSFBlaster]","","","","write-back processing","Reads data from input parameters and internal expressions and persists results to `[BlasterSendTemplate]`, `[PSFBlaster]`.","SELECT 1; INSERT 1; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[bookingcancellationdatewise]","CREATE","4008","1","4","@UserId bigint | @FromDate nvarchar(50) | @ToDate nvarchar(50) | @dealerID nvarchar(max","[UserMaster] | [SMRAppointment] | [Smrlead] | [SMRAppointment_ReportedRefuse] | [SMRLead_ReportedRefuse] | [SMRServiceTypeMaster]","","@tbl_dealerID | @TBL","","[dbo].[GetDate]","conditional branching | aggregation/reporting logic | unioned result sets | temp or staged data handling | write-back processing","Reads and returns data from `[UserMaster]`, `[SMRAppointment]`, `[Smrlead]`, `[SMRAppointment_ReportedRefuse]`, `[SMRLead_ReportedRefuse]`, `[SMRServiceTypeMaster]`. Intermediate staging uses `@tbl_dealerID`, `@TBL`.","SELECT 11; INSERT 3; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[bookingcancellationdealerparentwise]","CREATE","4126","1","4","@UserId bigint | @FromDate nvarchar(50) | @ToDate nvarchar(50) | @dealerID nvarchar(max","[UserMaster] | [SMRAppointment] | [Smrlead] | [SMRAppointment_ReportedRefuse] | [Smrlead_ReportedRefuse] | [SMRServiceTypeMaster] | [Dealersmaster]","","@tbl_dealerID | @TBL","","[dbo].[GetDate]","conditional branching | aggregation/reporting logic | unioned result sets | temp or staged data handling | write-back processing","Reads and returns data from `[UserMaster]`, `[SMRAppointment]`, `[Smrlead]`, `[SMRAppointment_ReportedRefuse]`, `[Smrlead_ReportedRefuse]`, `[SMRServiceTypeMaster]`, `[Dealersmaster]`. Intermediate staging uses `@tbl_dealerID`, `@TBL`.","SELECT 11; INSERT 3; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[bookingcancellationworkshopwise]","CREATE","4247","1","4","@UserId bigint | @FromDate nvarchar(50) | @ToDate nvarchar(50) | @dealerID nvarchar(max","[UserMaster] | [SMRAppointment] | [Smrlead] | [SMRAppointment_ReportedRefuse] | [SMRLead_ReportedRefuse] | [SMRServiceTypeMaster] | [Dealersmaster]","","@tbl_dealerID | @TBL","","[dbo].[GetDate]","conditional branching | aggregation/reporting logic | unioned result sets | temp or staged data handling | write-back processing","Reads and returns data from `[UserMaster]`, `[SMRAppointment]`, `[Smrlead]`, `[SMRAppointment_ReportedRefuse]`, `[SMRLead_ReportedRefuse]`, `[SMRServiceTypeMaster]`, `[Dealersmaster]`. Intermediate staging uses `@tbl_dealerID`, `@TBL`.","SELECT 12; INSERT 3; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[bookingcancellationzonewise]","CREATE","4376","1","4","@UserId bigint | @FromDate nvarchar(50) | @ToDate nvarchar(50) | @dealerID nvarchar(max","[UserMaster] | [SMRAppointment] | [Smrlead] | [SMRAppointment_ReportedRefuse] | [SMRLead_ReportedRefuse] | [SMRServiceTypeMaster] | [Dealersmaster]","","@tbl_dealerID | @TBL","","[dbo].[GetDate]","conditional branching | aggregation/reporting logic | unioned result sets | temp or staged data handling | write-back processing","Reads and returns data from `[UserMaster]`, `[SMRAppointment]`, `[Smrlead]`, `[SMRAppointment_ReportedRefuse]`, `[SMRLead_ReportedRefuse]`, `[SMRServiceTypeMaster]`, `[Dealersmaster]`. Intermediate staging uses `@tbl_dealerID`, `@TBL`.","SELECT 11; INSERT 3; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BotCREReset]","CREATE","4514","1","0","","[BotLeadResentData] | [BotLeadMaster] | [UserDealerMapping] | [UserMaster] | [UserCampaignMapping]","[d] | [BotLeadResentData]","@UserListUSerDealerMapping | @tbl_DealerId | @SequancelTable | @AllDealerUser | @distribution | @userDistribution","","","aggregation/reporting logic | temp or staged data handling | write-back processing","Reads data from `[BotLeadResentData]`, `[BotLeadMaster]`, `[UserDealerMapping]`, `[UserMaster]`, `[UserCampaignMapping]` and persists results to `[d]`, `[BotLeadResentData]`. Intermediate staging uses `@UserListUSerDealerMapping`, `@tbl_DealerId`, `@SequancelTable`, `@AllDealerUser`, `@distribution`, `@userDistribution`.","SELECT 11; INSERT 6; UPDATE 2; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[BotDPSstagingDataUpdate]","CREATE","4593","1","0","","[RezoSMRBotintegration] | [DealersMaster] | [BotPickupTypeMaster] | [SMRBOTCallStatusMaster] | [SMRLead] | [BotLeadMaster] | [DPSStagingSMRInt] | [SMRServiceTypeMaster] | [UserDealerMapping] | [UserMaster] | [UserCampaignMapping] | [FuelTypeMaster]","[SMRLead] | [SMRLeadConatct] | [dbo].[SMRLeadFollowUp] | [BotLeadMaster] | [BotFollowup] | [DPSStagingSMRint]","@tbl_DealerId | @LeadIdFollowup | @LeadIdBotUpdate | @tb_SMRLeadConatct | @tb_DataInsert | @tb_Data | @TempTB | @AllDealerUser | @DealerData | @UserListUSerDealer | @RealtimeDataID","","[dbo].[getdate]","conditional branching | iterative processing | temp or staged data handling | write-back processing","Reads data from `[RezoSMRBotintegration]`, `[DealersMaster]`, `[BotPickupTypeMaster]`, `[SMRBOTCallStatusMaster]`, `[SMRLead]`, `[BotLeadMaster]`, `[DPSStagingSMRInt]`, `[SMRServiceTypeMaster]`, `[UserDealerMapping]`, `[UserMaster]`, and 2 more and persists results to `[SMRLead]`, `[SMRLeadConatct]`, `[dbo].[SMRLeadFollowUp]`, `[BotLeadMaster]`, `[BotFollowup]`, `[DPSStagingSMRint]`. Intermediate staging uses `@tbl_DealerId`, `@LeadIdFollowup`, `@LeadIdBotUpdate`, `@tb_SMRLeadConatct`, `@tb_DataInsert`, `@tb_Data`, `@TempTB`, `@AllDealerUser`, and 3 more.","SELECT 29; INSERT 13; UPDATE 5; DELETE 1; MERGE 0; EXEC 0"
"[dbo].[BotgeneratereportManualShare]","CREATE","5084","1","0","","[BotLeadMaster] | [SMRLead] | [SMRLead_ReportedRefuse] | [UserMaster] | [FuelTypeMaster] | [SMRRefuseForService] | [SMRRefuseForService_ReportedRefuse] | [SMRRefuseForServiceMaster] | [SMRAppointment] | [SMRAppointment_ReportedRefuse] | [FollowUpLeadStatusMaster] | [CarSoldFollowup] | [ChannelMaster] | [SMRCallDispositionMaster] | [CampaignMaster] | [PriorityMaster] | [SMRServiceTypeMaster] | [SMRVehicleTypeMaster] | [LeadSourceMaster] | [SMRBOTCallStatusMaster] | [CustomerFollowUpStatusMaster] | [CustomerCategoryMaster] | [DealersMaster] | [BotFollowup] | [SMRAppointmentTypeMaster] | [SMROperationDetails] | [dbo].[SMROperationDetails_ReportedRefuse]","","","","","read-only retrieval","Reads and returns data from `[BotLeadMaster]`, `[SMRLead]`, `[SMRLead_ReportedRefuse]`, `[UserMaster]`, `[FuelTypeMaster]`, `[SMRRefuseForService]`, `[SMRRefuseForService_ReportedRefuse]`, `[SMRRefuseForServiceMaster]`, `[SMRAppointment]`, `[SMRAppointment_ReportedRefuse]`, and 17 more.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CampainDataInsertPostgray]","CREATE","5498","1","0","","[FreedomData] | [CampaignMaster]","[CampaignMaster]","@datas | @CampName","","[dbo].[GetDate]","temp or staged data handling | write-back processing","Reads data from `[FreedomData]`, `[CampaignMaster]` and persists results to `[CampaignMaster]`. Intermediate staging uses `@datas`, `@CampName`.","SELECT 4; INSERT 2; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CancelAppointmentBookingInformation]","CREATE","5549","1","1","@LeadId bigint","[SMRLead] | [DealersMaster] | [SMRAppointment]","","","","","read-only retrieval","Reads and returns data from `[SMRLead]`, `[DealersMaster]`, `[SMRAppointment]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CCPBlasterDataImport]","CREATE","5576","1","2","@JSON nvarchar(max)='' | @MessageId nvarchar(200","[DealersMaster] | [UserDealerMapping] | [UserMaster] | [UserCampaignMapping] | [SMRLead]","[SMRLead] | [dbo].[SMRLeadFollowUp] | [CrossSellDisposition]","@Smarteye | @TmpData | @OutLeadIDDta | @OutLeadIDDtaFollowup | @OutLeadIDDtaCrossSale","[EWBlasterDataImport]","","conditional branching | temp or staged data handling | write-back processing","Reads data from `[DealersMaster]`, `[UserDealerMapping]`, `[UserMaster]`, `[UserCampaignMapping]`, `[SMRLead]` and persists results to `[SMRLead]`, `[dbo].[SMRLeadFollowUp]`, `[CrossSellDisposition]`. Intermediate staging uses `@Smarteye`, `@TmpData`, `@OutLeadIDDta`, `@OutLeadIDDtaFollowup`, `@OutLeadIDDtaCrossSale`. The procedure also calls `[EWBlasterDataImport]`.","SELECT 9; INSERT 5; UPDATE 1; DELETE 0; MERGE 0; EXEC 1"
"[dbo].[CCPDataSendOnService]","CREATE","5763","1","0","","[CCPBlaster]","","","","","read-only retrieval","Reads and returns data from `[CCPBlaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CCPEwExpire]","CREATE","5786","1","0","","[SMRLead]","[dbo].[SMRLeadFollowUp] | [SMRRefuseForService] | [SMRLead]","@RefuseLEad | @TempTable","","[dbo].[getdate]","iterative processing | temp or staged data handling | write-back processing","Reads data from `[SMRLead]` and persists results to `[dbo].[SMRLeadFollowUp]`, `[SMRRefuseForService]`, `[SMRLead]`. Intermediate staging uses `@RefuseLEad`, `@TempTable`.","SELECT 8; INSERT 4; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CCPSendTemplateDetails]","CREATE","5992","1","1","@id nvarchar(300","[CCPSendTemplate] | [CCPBlaster]","","","","","read-only retrieval","Reads and returns data from `[CCPSendTemplate]`, `[CCPBlaster]`.","SELECT 1; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CCPSendWhatsAPpHistorySave]","CREATE","6035","1","7","@id NVARCHAR(150) | @status NVARCHAR(50) | @Error NVARCHAR(500) | @DPSDumpId int | @TemplateName nvarchar(200) | @RequestTime nvarchar(150) | @whatsApp_to_number nvarchar(150","","[CCPSendTemplate] | [CCPBlaster]","","","","write-back processing","Reads data from input parameters and internal expressions and persists results to `[CCPSendTemplate]`, `[CCPBlaster]`.","SELECT 1; INSERT 1; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CCPspSaveWhatsAppHistoryinteractiveBlaster]","CREATE","6074","1","6","@OldMessageId nvarchar(200) | @NewMessageId nvarchar(200) | @TemplateName nvarchar(200) | @SeletedButton nvarchar(200) | @MainRegion nvarchar(200)='' | @SubRegion nvarchar(200)=''","[CCPSendTemplate]","[CCPSendTemplate] | [CCPBlaster]","","","[Dbo].[GetDate]","write-back processing","Reads data from `[CCPSendTemplate]` and persists results to `[CCPSendTemplate]`, `[CCPBlaster]`.","SELECT 2; INSERT 1; UPDATE 1; DELETE 0; MERGE 0; EXEC 0"
"[dbo].[CheckExcelTaTReportSMRLEAD]","CREATE","6133","1","0","","[SMRLead] | [DealersMaster] | [SMRServiceTypeMaster] | [VehicleReportedExcelImport]","","","","","read-only retrieval","Reads and returns data from `[SMRLead]`, `[DealersMaster]`, `[SMRServiceTypeMaster]`, `[VehicleReportedExcelImport]`.","SELECT 2; INSERT 0; UPDATE 0; DELETE 0; MERGE 0; EXEC 0"
